GeoID_Name,SitsinState,GeoID,mhhinc,GeoID_Formatted
Alameda,CA,6001,112017,06001
Alpine,CA,6003,96000,06003
Amador,CA,6005,69955,06005
Butte,CA,6007,59863,06007
Calaveras,CA,6009,70119,06009
Colusa,CA,6011,61861,06011
Contra Costa,CA,6013,110455,06013
Del Norte,CA,6015,53280,06015
El Dorado,CA,6017,88770,06017
Fresno,CA,6019,61276,06019
Glenn,CA,6021,56332,06021
Humboldt,CA,6023,53350,06023
Imperial,CA,6025,49078,06025
Inyo,CA,6027,60925,06027
Kern,CA,6029,58824,06029
Kings,CA,6031,63267,06031
Lake,CA,6033,53399,06033
Lassen,CA,6035,59292,06035
Los Angeles,CA,6037,76367,06037
Madera,CA,6039,66709,06039
Marin,CA,6041,131008,06041
Mariposa,CA,6043,53304,06043
Mendocino,CA,6045,56378,06045
Merced,CA,6047,58861,06047
Modoc,CA,6049,51090,06049
Mono,CA,6051,71138,06051
Monterey,CA,6053,82013,06053
Napa,CA,6055,97498,06055
Nevada,CA,6057,74617,06057
Orange,CA,6059,100485,06059
Placer,CA,6061,99734,06061
Plumas,CA,6063,57885,06063
Riverside,CA,6065,76066,06065
Sacramento,CA,6067,76422,06067
San Benito,CA,6069,95606,06069
San Bernardino,CA,6071,70287,06071
San Diego,CA,6073,88240,06073
San Francisco,CA,6075,126187,06075
San Joaquin,CA,6077,74962,06077
San Luis Obispo,CA,6079,82514,06079
San Mateo,CA,6081,136837,06081
Santa Barbara,CA,6083,84356,06083
Santa Clara,CA,6085,140258,06085
Santa Cruz,CA,6087,96093,06087
Shasta,CA,6089,61937,06089
Sierra,CA,6091,56152,06091
Siskiyou,CA,6093,49857,06093
Solano,CA,6095,89648,06095
Sonoma,CA,6097,91607,06097
Stanislaus,CA,6099,68368,06099
Sutter,CA,6101,67003,06101
Tehama,CA,6103,52901,06103
Trinity,CA,6105,42206,06105
Tulare,CA,6107,57394,06107
Tuolumne,CA,6109,66846,06109
Ventura,CA,6111,94150,06111
Yolo,CA,6113,78386,06113
Yuba,CA,6115,62666,06115
