"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1025","53","0","2020","1","",38,7052,7025,7014,123546710,0,0,1352,"",2.21,1.24,1.23,1.23,1.36,0.00,0.00,1.10,"",0,0.0,147,2.1,74,1.1,61,0.9,2929129,2.4,0,0.0,0,0.0,14,1.0
"01000","2","1025","53","0","2020","1","",225,64556,66137,66467,962057716,103657,2799,1126,"",1.22,1.83,1.82,1.82,2.08,0.01,0.23,1.14,"",0,0.0,1255,2.0,903,1.4,819,1.2,44060739,4.8,56614,120.3,1529,120.4,35,3.2
"01000","3","1025","53","0","2020","1","",2108,132822,133124,133432,1475436406,13960848,110314,853,"",2.30,1.09,1.08,1.07,1.19,0.37,0.70,1.10,"",2,0.1,719,0.5,729,0.6,617,0.5,57037424,4.0,-223495,-1.6,-5802,-5.0,29,3.5
"01000","5","1025","53","0","2020","1","",15330,238752,241181,238575,2755907889,1226167613,11586900,885,"",0.66,0.76,0.76,0.75,0.85,1.12,1.16,1.12,"",1930,14.4,5337,2.3,4999,2.1,3550,1.5,105498684,4.0,36154061,3.0,39972,0.3,17,2.0
"01001","2","1025","73","0","2020","1","N",4,0,0,0,0,0,0,0,"N",3.17,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1025","73","0","2020","1","",19,1073,1073,1078,10711138,0,0,767,"",3.02,1.57,1.56,1.55,1.81,0.00,0.00,1.16,"",0,0.0,13,1.2,7,0.7,13,1.2,332848,3.2,0,0.0,0,0.0,16,2.1
"01001","5","1025","73","0","2020","1","",107,1218,1217,1249,10975695,7034072,60419,688,"",0.67,0.69,0.69,0.71,0.71,1.34,1.15,1.02,"",13,13.8,-13,-1.1,-22,-1.8,16,1.3,653130,6.3,72674,1.0,555,0.9,45,7.0
"01003","2","1025","73","0","2020","1","",4,309,446,437,4035206,0,0,781,"",0.43,0.23,0.32,0.31,0.30,0.00,0.00,1.05,"",0,0.0,-26,-7.8,-3,-0.7,-19,-4.2,127571,3.3,0,0.0,0,0.0,54,7.4
"01003","3","1025","73","0","2020","1","",55,4737,4751,4791,49689515,0,0,803,"",1.19,1.03,1.01,1.00,1.40,0.00,0.00,1.37,"",5,10.0,203,4.5,158,3.4,148,3.2,3782616,8.2,0,0.0,0,0.0,34,4.4
"01003","5","1025","73","0","2020","1","",745,10696,10761,10819,116955747,55540591,464001,836,"",0.64,0.91,0.89,0.89,1.26,1.36,1.36,1.40,"",75,11.2,289,2.8,221,2.1,340,3.2,4516789,4.0,2192323,4.1,-15313,-3.2,10,1.2
"01005","2","1025","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",2.50,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","1025","73","0","2020","1","",13,519,526,515,5500385,31720,187,814,"",3.26,1.03,1.01,0.99,1.39,0.21,0.29,1.37,"",0,0.0,-2,-0.4,4,0.8,-6,-1.2,274763,5.3,-16751,-34.6,-99,-34.6,43,5.6
