"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","1013","53","0","2020","1","N",1,0,0,0,0,0,0,0,"N",2.05,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","1013","53","0","2020","1","",5684,268695,270367,270689,4079314935,2038405903,23962110,1163,"",1.28,1.58,1.58,1.59,1.61,1.55,1.56,1.02,"",71,1.3,172,0.1,1223,0.5,1865,0.7,86602174,2.2,24929879,1.2,-2115879,-8.1,21,1.8
"01001","5","1013","73","0","2020","1","",22,1602,1587,1559,26418066,11799747,210414,1284,"",0.72,1.68,1.67,1.64,2.19,1.86,2.60,1.32,"",-2,-8.3,13,0.8,-7,-0.4,-9,-0.6,-627354,-2.3,-181597,-1.5,35815,20.5,-30,-2.3
"01003","5","1013","73","0","2020","1","",212,4186,4174,4179,54637723,29908670,339661,1006,"",0.94,0.65,0.64,0.64,0.75,0.61,0.65,1.16,"",1,0.5,-345,-7.6,-318,-7.1,-318,-7.1,-6184172,-10.2,-2840836,-8.7,-36831,-9.8,-32,-3.1
"01005","5","1013","73","0","2020","1","",26,2308,2457,2411,26947631,17307680,198475,867,"",1.34,3.29,3.44,3.37,3.33,3.27,3.14,0.99,"",-3,-10.3,-197,-7.9,-23,-0.9,-58,-2.3,1628038,6.4,500545,3.0,3148,1.6,83,10.6
"01007","5","1013","73","0","2020","1","",23,592,608,585,7121529,4390996,30731,921,"",1.83,1.42,1.46,1.39,1.28,1.39,0.61,0.90,"",-1,-4.2,70,13.4,62,11.4,-56,-8.7,851167,13.6,376745,9.4,-37620,-55.0,74,8.7
"01009","5","1013","73","0","2020","1","",49,1290,1287,1327,12813675,8602899,84402,757,"",1.82,1.75,1.75,1.80,1.66,1.82,1.81,0.94,"",-4,-7.5,-83,-6.0,-89,-6.5,-31,-2.3,-930841,-6.8,-566078,-6.2,-15433,-15.5,-15,-1.9
"01011","5","1013","73","0","2020","1","N",8,0,0,0,0,0,0,0,"N",1.29,0,0,0,0,0,0,0,"N",2,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1013","73","0","2020","1","",24,1372,1401,1369,16051694,10300589,168635,894,"",1.45,2.34,2.39,2.35,2.62,2.35,2.74,1.11,"",1,4.3,-60,-4.2,-21,-1.5,-49,-3.5,437945,2.8,-2504,0.0,-11802,-6.5,51,6.0
"01015","5","1013","73","0","2020","1","",133,6609,6703,6745,91176022,47767504,533438,1049,"",1.53,1.73,1.75,1.76,1.96,1.98,2.08,1.12,"",-8,-5.7,80,1.2,149,2.3,213,3.3,877037,1.0,1309318,2.8,-113802,-17.6,-13,-1.2
"01017","5","1013","73","0","2020","1","",27,2041,2046,2031,26978133,14992451,141694,1018,"",1.26,2.78,2.78,2.76,3.23,2.90,2.69,1.17,"",-1,-3.6,-4,-0.2,-21,-1.0,-49,-2.4,-181789,-0.7,-1336189,-8.2,-11108,-7.3,6,0.6
"01019","5","1013","73","0","2020","1","",19,949,934,924,8943638,6500688,111159,735,"",1.33,2.16,2.12,2.08,2.03,2.19,2.79,0.96,"",-2,-9.5,32,3.5,3,0.3,-18,-1.9,-685053,-7.1,-358282,-5.2,-41554,-27.2,-61,-7.7
"01021","5","1013","73","0","2020","1","",47,2072,2068,2052,25218564,15237717,196930,940,"",1.66,2.55,2.52,2.51,2.70,2.51,2.92,1.07,"",-2,-4.1,-44,-2.1,-47,-2.2,-14,-0.7,-142923,-0.6,-159811,-1.0,3380,1.7,11,1.2
"01023","5","1013","73","0","2020","1","N",9,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","1013","73","0","2020","1","",24,1688,1679,1689,29310034,12665675,126546,1338,"",1.06,2.44,2.43,2.45,3.37,2.46,2.29,1.38,"",-3,-11.1,57,3.5,52,3.2,85,5.3,1571982,5.7,418849,3.4,15145,13.6,21,1.6
"01027","5","1013","73","0","2020","1","",11,2304,2329,2324,23431999,16179830,153789,777,"",1.47,6.14,6.19,6.14,5.73,5.57,5.15,0.93,"",0,0.0,77,3.5,124,5.6,119,5.4,2953912,14.4,1207416,8.1,18908,14.0,65,9.1
"01029","5","1013","73","0","2020","1","",10,280,276,282,4411741,2281182,15533,1215,"",1.26,1.54,1.55,1.58,2.02,1.86,0.71,1.30,"",0,0.0,-22,-7.3,-24,-8.0,-15,-5.1,-176324,-3.8,-230252,-9.2,-2593,-14.3,37,3.1
"01031","5","1013","73","0","2020","1","",46,3670,3665,3683,33996670,25238263,267073,712,"",1.27,2.63,2.62,2.63,2.31,2.36,2.48,0.88,"",-2,-4.2,5,0.1,-53,-1.4,-61,-1.6,2008764,6.3,1188963,4.9,-66521,-19.9,49,7.4
"01033","5","1013","73","0","2020","1","",111,6034,5983,6066,87937072,46244505,559923,1122,"",2.39,2.95,2.93,2.93,3.19,2.84,2.37,1.09,"",3,2.8,-511,-7.8,-393,-6.2,-247,-3.9,-3689249,-4.0,-3477762,-7.0,-84534,-13.1,23,2.1
"01035","5","1013","73","0","2020","1","",15,499,505,509,4859819,3357737,75650,741,"",1.73,1.72,1.74,1.75,1.52,1.57,2.69,0.87,"",0,0.0,-15,-2.9,-25,-4.7,-13,-2.5,-205953,-4.1,-262363,-7.2,-37040,-32.9,-6,-0.8
"01037","5","1013","73","0","2020","1","",7,576,578,557,5416066,3673090,38702,730,"",1.50,4.79,4.75,4.68,4.22,4.44,4.39,0.89,"",1,16.7,-86,-13.0,-63,-9.8,-80,-12.6,-802775,-12.9,-659953,-15.2,-23729,-38.0,-10,-1.4
"01039","5","1013","73","0","2020","1","",35,2252,2238,2180,20526409,14977652,532612,710,"",1.12,2.19,2.18,2.13,1.83,1.99,4.09,0.84,"",0,0.0,-42,-1.8,-23,-1.0,-50,-2.2,1293045,6.7,271244,1.8,-151245,-22.1,56,8.6
"01041","5","1013","73","0","2020","1","",11,1156,1154,1139,12092700,8035831,96895,809,"",1.18,3.75,3.66,3.58,3.56,3.19,2.55,0.97,"",0,0.0,-30,-2.5,-18,-1.5,-46,-3.9,749033,6.6,78885,1.0,-11773,-10.8,70,9.5
"01043","5","1013","73","0","2020","1","",128,5809,5848,5812,73074074,42773883,383898,965,"",2.01,2.34,2.34,2.32,2.53,2.22,1.99,1.08,"",-2,-1.5,29,0.5,52,0.9,68,1.2,1668974,2.3,-895468,-2.1,16101,4.4,14,1.5
"01045","5","1013","73","0","2020","1","",34,4061,4045,4060,78227294,30936760,232685,1484,"",1.13,2.76,2.75,2.74,3.31,2.92,2.17,1.20,"",1,3.0,80,2.0,11,0.3,13,0.3,-902470,-1.1,-876655,-2.8,-776,-0.3,-30,-2.0
"01047","5","1013","73","0","2020","1","",44,2898,2888,2879,44082102,21613858,415665,1174,"",1.50,2.81,2.81,2.78,3.47,2.81,3.45,1.24,"",1,2.3,-74,-2.5,-79,-2.7,-80,-2.7,876296,2.0,-201482,-0.9,-59448,-12.5,53,4.7
"01049","5","1013","73","0","2020","1","",107,6470,6572,6534,77469441,47496326,586271,913,"",2.54,3.39,3.43,3.42,3.62,3.03,3.30,1.06,"",2,1.9,213,3.4,161,2.5,51,0.8,3080296,4.1,1041225,2.2,-51006,-8.0,17,1.9
"01051","5","1013","73","0","2020","1","",59,2196,2251,2260,35033796,17643796,161967,1205,"",1.21,1.30,1.33,1.33,1.93,1.52,1.38,1.46,"",-2,-3.3,-235,-9.7,-231,-9.3,-192,-7.8,-4847068,-12.2,-1629821,-8.5,-41384,-20.4,-45,-3.6
"01053","5","1013","73","0","2020","1","",42,2030,2003,2002,26832067,15111720,210147,1026,"",1.48,1.85,1.83,1.82,2.00,1.80,2.34,1.09,"",-1,-2.3,4,0.2,-50,-2.4,-85,-4.1,-1416381,-5.0,-356147,-2.3,-19641,-8.5,-31,-2.9
"01055","5","1013","73","0","2020","1","",100,5390,5348,5365,100514241,39058017,440152,1440,"",1.40,1.81,1.80,1.80,2.70,1.71,1.76,1.49,"",-2,-2.0,-13,-0.2,-43,-0.8,-53,-1.0,35795529,55.3,1249469,3.3,12691,3.0,519,56.4
"01057","5","1013","73","0","2020","1","",19,927,934,944,10416391,6617103,129090,857,"",1.61,2.71,2.71,2.77,3.00,3.09,4.30,1.10,"",0,0.0,-7,-0.7,0,0.0,15,1.6,778281,8.1,193785,3.0,10364,8.7,62,7.8
"01059","5","1013","73","0","2020","1","",44,5022,5080,5079,52215176,37067802,380948,794,"",2.15,5.31,5.34,5.32,5.05,4.80,4.61,0.95,"",-2,-4.3,141,2.9,161,3.3,146,3.0,2560029,5.2,1392151,3.9,47777,14.3,16,2.1
"01061","5","1013","73","0","2020","1","",20,655,658,654,5452758,4399717,70864,640,"",1.16,1.51,1.53,1.50,1.29,1.38,2.05,0.85,"",-1,-4.8,-62,-8.6,-56,-7.8,-52,-7.4,-140885,-2.5,-289230,-6.2,-964,-1.3,36,6.0
"01063","5","1013","73","0","2020","1","",9,602,608,589,5753283,2964207,38228,738,"",1.62,3.68,3.72,3.60,3.61,3.05,3.05,0.98,"",0,0.0,59,10.9,73,13.6,52,9.7,426272,8.0,-419683,-12.4,-12830,-25.1,-23,-3.0
"01065","5","1013","73","0","2020","1","",15,467,468,455,6731930,2176435,29953,1118,"",1.51,2.04,2.05,1.99,2.68,1.57,1.91,1.32,"",-3,-16.7,-38,-7.5,-42,-8.2,-46,-9.2,-863951,-11.4,-747042,-25.6,-10627,-26.2,-38,-3.3
"01067","5","1013","73","0","2020","1","",15,395,398,401,5812826,3120790,32919,1123,"",1.25,1.30,1.32,1.33,1.57,1.31,1.44,1.20,"",-2,-11.8,13,3.4,27,7.3,29,7.8,381158,7.0,174016,5.9,6376,24.0,9,0.8
"01069","5","1013","73","0","2020","1","",126,4296,4334,4294,44305325,29996798,355882,791,"",1.21,1.02,1.03,1.03,0.82,0.96,1.11,0.80,"",3,2.4,72,1.7,86,2.0,64,1.5,2371380,5.7,1326504,4.6,50044,16.4,29,3.8
"01071","5","1013","73","0","2020","1","",78,5023,5066,5120,57940130,37689550,790282,879,"",2.26,3.86,3.89,3.88,4.04,3.79,4.81,1.04,"",2,2.6,-442,-8.1,-404,-7.4,-349,-6.4,1045938,1.8,-1831725,-4.6,-21503,-2.6,79,9.9
"01073","5","1013","73","0","2020","1","",702,23311,23689,23587,422185249,191289695,2128260,1380,"",1.07,0.77,0.78,0.78,0.78,0.78,0.79,1.00,"",3,0.4,-441,-1.9,-73,-0.3,-59,-0.2,18696328,4.6,2787017,1.5,-572200,-21.2,72,5.5
"01075","5","1013","73","0","2020","1","",18,1248,1250,1251,17461176,9536483,156422,1075,"",1.91,4.26,4.29,4.27,4.80,3.92,4.90,1.13,"",0,0.0,29,2.4,42,3.5,73,6.2,676729,4.0,303413,3.3,8859,6.0,1,0.1
"01077","5","1013","73","0","2020","1","",96,2567,2598,2625,30572915,17547371,286505,906,"",1.32,1.02,1.03,1.03,1.11,1.00,1.33,1.08,"",1,1.1,-255,-9.0,-221,-7.8,-202,-7.1,-545456,-1.8,-1173056,-6.3,28444,11.0,58,6.8
"01079","5","1013","73","0","2020","1","",22,203,201,202,1973077,1320072,15547,751,"",1.34,0.47,0.47,0.47,0.42,0.49,0.52,0.89,"",0,0.0,36,21.6,26,14.9,25,14.1,168140,9.3,149120,12.7,-794,-4.9,-52,-6.5
"01081","5","1013","73","0","2020","1","",145,6306,6380,6339,82523204,47659790,510715,1001,"",1.27,1.23,1.23,1.24,1.32,1.48,1.45,1.07,"",0,0.0,34,0.5,45,0.7,47,0.7,1147490,1.4,19769,0.0,-58392,-10.3,7,0.7
"01083","5","1013","73","0","2020","1","",91,4285,4336,4323,58073478,33065843,311044,1035,"",1.78,2.09,2.04,2.03,1.87,2.15,1.32,0.91,"",2,2.2,190,4.6,227,5.5,196,4.7,639336,1.1,1230060,3.9,-11684,-3.6,-40,-3.7
"01085","5","1013","73","0","2020","1","",14,812,809,799,13982878,6092628,134202,1333,"",2.32,4.34,4.33,4.28,5.29,4.14,5.06,1.23,"",-1,-6.7,-55,-6.3,-74,-8.4,-70,-8.1,-1091739,-7.2,-393717,-6.1,-23904,-15.1,5,0.4
"01087","5","1013","73","0","2020","1","N",5,0,0,0,0,0,0,0,"N",0.59,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01089","3","1013","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",26.56,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
