"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","5","1011","53","0","2020","1","",1807,18451,18412,17982,264295669,134785427,1621268,1112,"",1.03,0.79,0.78,0.76,0.81,0.81,0.71,1.04,"",-21,-1.1,-113,-0.6,-307,-1.6,-827,-4.4,-8790329,-3.2,-855712,-0.6,-559898,-25.7,-12,-1.1
"01001","5","1011","73","0","2020","1","",23,178,178,180,3034117,1458553,27741,1306,"",1.92,1.36,1.36,1.36,1.95,1.81,2.30,1.43,"",-1,-4.2,-1,-0.6,-5,-2.7,-3,-1.6,-128053,-4.0,-29754,-2.0,4735,20.6,-33,-2.5
"01003","5","1011","73","0","2020","1","",75,740,765,749,7587440,5260206,52221,777,"",0.85,0.84,0.86,0.82,0.81,0.84,0.67,0.96,"",-3,-3.8,-30,-3.9,-33,-4.1,-32,-4.1,13085,0.2,-120320,-2.2,-9361,-15.2,33,4.4
"01005","5","1011","73","0","2020","1","",27,274,287,288,3818323,2211795,36478,1038,"",3.55,2.85,2.91,2.89,3.65,3.29,3.88,1.27,"",-1,-3.6,-48,-14.9,-20,-6.5,-23,-7.4,-308354,-7.5,-134604,-5.7,-13897,-27.6,25,2.5
"01007","5","1011","73","0","2020","1","",13,70,71,71,656807,453270,6307,715,"",2.64,1.22,1.24,1.21,0.91,1.12,0.84,0.74,"",0,0.0,-14,-16.7,-17,-19.3,-4,-5.3,-156565,-19.2,-81724,-15.3,763,13.8,-45,-5.9
"01009","5","1011","73","0","2020","1","",13,76,73,72,566327,440338,6046,591,"",1.23,0.75,0.72,0.70,0.57,0.73,0.87,0.78,"",1,8.3,-8,-9.5,-12,-14.1,-5,-6.5,-36374,-6.0,-43185,-8.9,-2598,-30.1,26,4.6
"01011","5","1011","73","0","2020","1","",15,263,282,290,3257006,2165463,124008,900,"",6.17,7.51,8.02,8.21,9.03,8.73,24.50,1.14,"",-3,-16.7,20,8.2,-7,-2.4,7,2.5,326706,11.1,106478,5.2,8890,7.7,70,8.4
"01013","5","1011","73","0","2020","1","",25,201,192,194,2443266,1428687,15464,961,"",3.85,2.50,2.38,2.39,3.09,2.56,1.69,1.28,"",0,0.0,7,3.6,-1,-0.5,0,0.0,17242,0.7,6060,0.4,-769,-4.7,-3,-0.3
"01015","5","1011","73","0","2020","1","",28,233,233,229,2981784,1818361,17740,990,"",0.82,0.44,0.44,0.43,0.50,0.59,0.46,1.13,"",0,0.0,7,3.1,4,1.7,-2,-0.9,263968,9.7,86661,5.0,-1146,-6.1,76,8.3
"01017","5","1011","73","0","2020","1","",23,198,203,201,2116885,1435973,14855,811,"",2.73,1.96,2.00,1.96,1.96,2.18,1.89,0.99,"",2,9.5,6,3.1,11,5.7,-7,-3.4,-48638,-2.2,-6885,-0.5,-8,-0.1,-33,-3.9
"01019","5","1011","73","0","2020","1","",18,199,221,236,1452831,1251075,24221,511,"",3.21,3.30,3.65,3.81,2.55,3.32,4.09,0.71,"",2,12.5,-4,-2.0,-12,-5.2,-28,-10.6,-538421,-27.0,-111477,-8.2,-7555,-23.8,-145,-22.1
"01021","5","1011","73","0","2020","1","",25,114,132,132,1372122,939719,11519,838,"",2.24,1.02,1.17,1.16,1.14,1.22,1.14,1.02,"",-1,-3.8,-14,-10.9,-9,-6.4,-9,-6.4,-266972,-16.3,-156815,-14.3,-5056,-30.5,-85,-9.2
