"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1024","53","0","2020","1","",44,1904,1919,1923,40461119,0,0,1625,"",2.40,2.09,2.11,2.09,2.65,0.00,0.00,1.27,"",0,0.0,12,0.6,23,1.2,16,0.8,-4851567,-10.7,0,0.0,0,0.0,-211,-11.5
"01000","3","1024","53","0","2020","1","",82,1120,1123,1110,14749953,2261483,23309,1015,"",1.47,0.89,0.89,0.88,1.07,1.24,1.23,1.21,"",2,2.5,31,2.8,39,3.6,27,2.5,809813,5.8,74651,3.4,-16918,-42.1,27,2.7
"01000","5","1024","53","0","2020","1","",22208,249791,251846,251613,3809071865,1682859930,19955208,1167,"",0.92,0.89,0.89,0.89,0.79,0.82,0.80,0.89,"",356,1.6,3986,1.6,3938,1.6,2568,1.0,307486436,8.8,46696863,2.9,-1498523,-7.0,79,7.3
"01001","3","1024","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",2.61,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1024","73","0","2020","1","",116,616,630,626,7859040,3883875,42230,969,"",0.70,0.39,0.40,0.40,0.34,0.39,0.32,0.87,"",6,5.5,22,3.7,21,3.4,13,2.1,278276,3.7,228639,6.3,-4817,-10.2,6,0.6
"01003","5","1024","73","0","2020","1","",987,6009,6154,6301,63614909,39131750,454933,795,"",0.81,0.57,0.57,0.58,0.46,0.51,0.53,0.80,"",28,2.9,314,5.5,340,5.8,248,4.1,4411090,7.5,2310298,6.3,-39400,-8.0,17,2.2
"01005","1","1024","73","0","2020","1","",1,7,7,7,140359,0,0,1542,"",12.52,1.86,1.83,1.82,2.88,0.00,0.00,1.57,"",0,0.0,0,0.0,0,0.0,0,0.0,-11762,-7.7,0,0.0,0,0.0,-130,-7.8
"01005","5","1024","73","0","2020","1","",51,403,439,492,3179043,2590106,39575,550,"",0.48,0.35,0.37,0.41,0.21,0.31,0.38,0.55,"",4,8.5,129,47.1,144,48.8,200,68.5,909128,40.1,863387,50.0,-9470,-19.3,-58,-9.5
"01007","5","1024","73","0","2020","1","",36,134,141,144,1858703,957214,11528,1024,"",0.53,0.19,0.20,0.21,0.17,0.19,0.14,0.87,"",4,12.5,6,4.7,11,8.5,15,11.6,380118,25.7,117859,14.0,-1181,-9.3,142,16.1
"01009","5","1024","73","0","2020","1","",84,439,446,478,4845270,2778859,32600,820,"",0.57,0.36,0.37,0.39,0.33,0.38,0.43,0.89,"",-5,-5.6,-2,-0.5,12,2.8,45,10.4,-47837,-1.0,164930,6.3,-105,-0.3,-43,-5.0
