"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","0","10","50","0","2020","1","",129525,1975812,1986981,1983902,25058375072,10048338782,111968859,972,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",1537,1.2,19336,1.0,17859,0.9,6243,0.3,898010082,3.7,198663577,2.0,-7200684,-6.0,28,3.0
"01000","1","10","51","0","2020","1","",1247,54521,54643,55021,1100867539,0,0,1547,"",1.63,1.43,1.43,1.43,1.81,0.00,0.00,1.27,"",31,2.5,1184,2.2,1055,2.0,1524,2.8,-6087967,-0.5,0,0.0,0,0.0,-45,-2.8
"01000","2","10","51","0","2020","1","",1374,97024,98574,99035,1328055880,136007,4763,1040,"",1.57,1.56,1.56,1.56,1.66,0.00,0.12,1.07,"",-7,-0.5,1595,1.7,1166,1.2,1238,1.3,78650081,6.3,46978,52.8,1277,36.6,48,4.8
"01000","3","10","51","0","2020","1","",3687,215698,216071,216805,2375949787,96898653,758582,845,"",1.72,1.11,1.10,1.09,1.13,0.92,1.21,1.03,"",8,0.2,1667,0.8,1677,0.8,1286,0.6,86640236,3.8,1194244,1.2,-47880,-5.9,25,3.0
"01000","5","10","51","0","2020","1","",123217,1608569,1617693,1613041,20253501866,9951304122,111205514,966,"",0.98,0.96,0.96,0.96,0.94,1.00,1.00,0.98,"",1505,1.2,14890,0.9,13961,0.9,2195,0.1,738807732,3.8,197422355,2.0,-7154081,-6.0,29,3.1
"01000","8","10","96","0","2020","1","",6308,367243,369288,370861,4804873206,97034660,763345,1001,"",1.67,1.24,1.24,1.23,1.37,0.73,1.15,1.11,"",32,0.5,4446,1.2,3898,1.1,4048,1.1,159202350,3.4,1241222,1.3,-46603,-5.8,22,2.2
"01001","0","10","70","0","2020","1","",889,11077,11045,11070,119286027,48505408,590490,829,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",12,1.4,116,1.1,80,0.7,86,0.8,4973287,4.4,1440687,3.1,41283,7.5,27,3.4
"01001","1","10","71","0","2020","1","",10,81,84,85,1073296,0,0,991,"",1.90,0.38,0.40,0.39,0.37,0.00,0.00,0.95,"",-3,-23.1,-6,-6.9,1,1.2,2,2.4,43627,4.2,0,0.0,0,0.0,52,5.5
"01001","2","10","71","0","2020","1","",19,576,583,570,6692792,0,0,893,"",3.16,1.65,1.66,1.61,1.76,0.00,0.00,1.07,"",0,0.0,-12,-2.0,7,1.2,-6,-1.0,368156,5.8,0,0.0,0,0.0,54,6.4
"01001","3","10","71","0","2020","1","",32,1903,1925,1940,19222214,127672,753,769,"",2.18,1.74,1.76,1.75,1.92,0.25,0.23,1.10,"",0,0.0,11,0.6,12,0.6,14,0.7,866695,4.7,3694,3.0,22,3.0,30,4.1
