"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1021","53","0","2020","1","",617,11131,11060,11032,180956144,0,0,1257,"",1.63,1.24,1.24,1.23,1.71,0.00,0.00,1.39,"",6,1.0,119,1.1,-55,-0.5,-32,-0.3,16973994,10.4,0,0.0,0,0.0,117,10.3
"01000","2","1021","53","0","2020","1","",175,1140,1129,1123,11452321,0,0,779,"",14.29,1.44,1.43,1.42,1.08,0.00,0.00,0.75,"",-1,-0.6,35,3.2,13,1.2,0,0.0,375298,3.4,0,0.0,0,0.0,15,2.0
"01000","3","1021","53","0","2020","1","",448,12592,12630,12622,137763313,9263300,80358,840,"",2.98,1.68,1.69,1.68,1.34,1.34,1.90,0.80,"",0,0.0,74,0.6,155,1.2,123,1.0,4228158,3.2,260132,2.9,-66,-0.1,18,2.2
"01000","5","1021","53","0","2020","1","",32072,378071,376756,376404,4406228012,2287138451,21752718,899,"",1.32,1.02,1.03,1.03,1.16,1.05,1.04,1.13,"",-301,-0.9,-590,-0.2,203,0.1,-891,-0.2,81839624,1.9,25460133,1.1,-831059,-3.7,18,2.0
"01001","1","1021","73","0","2020","1","",4,71,74,74,891798,0,0,940,"",1.54,1.41,1.49,1.48,1.77,0.00,0.00,1.21,"",-1,-20.0,-1,-1.4,5,7.2,5,7.2,45126,5.3,0,0.0,0,0.0,10,1.1
"01001","2","1021","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",23.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1021","73","0","2020","1","",4,217,215,217,1259580,120532,711,448,"",3.88,5.17,5.16,5.17,2.57,3.61,3.19,0.50,"",0,0.0,-11,-4.8,-9,-4.0,-5,-2.3,20740,1.7,3560,3.0,21,3.0,24,5.7
"01001","5","1021","73","0","2020","1","",191,2137,2125,2122,24479636,11858337,100500,885,"",1.15,1.03,1.04,1.04,1.35,1.12,0.91,1.30,"",-6,-3.0,27,1.3,35,1.7,38,1.8,2462818,11.2,924986,8.5,2890,3.0,76,9.4
"01003","1","1021","73","0","2020","1","",20,248,241,250,3101589,0,0,969,"",1.05,0.73,0.71,0.73,1.02,0.00,0.00,1.41,"",0,0.0,2,0.8,-9,-3.6,1,0.4,136077,4.6,0,0.0,0,0.0,50,5.4
"01003","2","1021","73","0","2020","1","",11,38,42,38,259829,0,0,508,"",17.80,1.28,1.40,1.25,0.85,0.00,0.00,0.65,"",0,0.0,-5,-11.6,0,0.0,-3,-7.3,1694,0.7,0,0.0,0,0.0,35,7.4
"01003","3","1021","73","0","2020","1","",14,503,503,510,6387285,241022,1422,972,"",1.85,1.79,1.77,1.76,2.16,0.94,0.99,1.22,"",0,0.0,6,1.2,6,1.2,14,2.8,146664,2.4,6462,2.8,38,2.7,5,0.5
"01003","5","1021","73","0","2020","1","",1505,17615,17630,17631,160085421,102300246,922945,699,"",1.23,1.27,1.27,1.25,1.47,1.25,1.29,1.16,"",10,0.7,271,1.6,351,2.0,41,0.2,5910128,3.8,3149713,3.2,-29954,-3.1,18,2.6
"01005","1","1021","73","0","2020","1","",4,38,34,35,445820,0,0,962,"",2.43,1.03,0.91,0.93,1.32,0.00,0.00,1.38,"",1,33.3,3,8.6,-1,-2.9,0,0.0,33809,8.2,0,0.0,0,0.0,56,6.2
"01005","2","1021","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",37.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","3","1021","73","0","2020","1","",6,56,57,58,465889,100522,594,629,"",9.18,1.82,1.81,1.84,1.41,3.62,3.42,0.78,"",0,0.0,2,3.7,-1,-1.7,-1,-1.7,31366,7.2,4102,4.3,25,4.4,43,7.3
