"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"02000","5","1029","53","0","2020","1","",53,59,46,51,372671,372671,5794,551,"",0.15,0.22,0.16,0.18,0.09,0.11,0.08,0.52,"",24,82.8,41,227.8,24,109.1,33,183.3,155313,71.5,156792,72.6,1981,52.0,-314,-36.3
"02020","5","1029","73","0","2020","1","",20,35,21,24,204400,204400,3215,590,"",0.15,0.27,0.16,0.18,0.11,0.13,0.10,0.53,"",12,150.0,31,775.0,15,250.0,19,380.0,155283,316.1,155283,316.1,2351,272.1,-166,-22.0
"02050","5","1029","73","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02060","5","1029","73","0","2020","1","",1,0,0,1,1000,1000,16,231,"",0.48,0.00,0.00,2.21,0.17,0.19,0.15,0.24,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02090","5","1029","73","0","2020","1","",4,2,2,2,12125,12125,186,466,"",0.11,0.06,0.06,0.06,0.03,0.04,0.03,0.48,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02110","5","1029","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.06,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02122","5","1029","73","0","2020","1","",2,4,4,3,19752,19752,297,414,"",0.06,0.25,0.23,0.18,0.10,0.12,0.09,0.44,"",1,100.0,1,33.3,1,33.3,0,0.0,4394,28.6,4394,28.6,24,8.8,20,5.1
"02130","5","1029","73","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02150","5","1029","73","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"02170","5","1029","73","0","2020","1","",9,12,12,13,84794,84794,1302,529,"",0.24,0.55,0.52,0.57,0.36,0.36,0.27,0.65,"",8,800.0,12,100.0,12,100.0,13,100.0,84794,100.0,84794,100.0,1302,100.0,529,100.0
"02220","5","1029","73","0","2020","1","",1,0,0,0,0,0,0,0,"",0.17,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",1,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"02290","5","1029","73","0","2020","1","",1,0,0,0,0,0,0,0,"",0.24,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"",0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
"02999","5","1029","73","0","2020","1","N",14,0,0,0,0,0,0,0,"N",1.08,0,0,0,0,0,0,0,"N",1,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04000","3","1029","53","0","2020","1","",4,3,3,3,510,510,10,13,"",4.15,2.26,2.19,2.22,0.04,0.16,0.18,0.02,"",2,100.0,2,200.0,2,200.0,2,200.0,-25540,-98.0,-6490,-92.7,-130,-92.9,-1991,-99.4
"04000","5","1029","53","0","2020","1","",1898,3953,4200,4404,51738842,25367979,461581,951,"",0.71,1.49,1.51,1.61,1.42,1.45,1.30,0.92,"",-355,-15.8,2736,224.8,2948,235.5,3092,235.7,32029148,162.5,17356369,216.6,283408,159.1,-252,-20.9
"04001","5","1029","73","0","2020","1","",2,3,3,2,9775,9775,195,282,"",0.20,0.19,0.18,0.12,0.06,0.18,0.09,0.34,"",-2,-50.0,2,200.0,2,200.0,1,100.0,8155,503.4,8155,503.4,163,509.4,157,125.6
"04003","5","1029","73","0","2020","1","",13,14,17,17,78865,67884,1375,379,"",0.36,0.45,0.51,0.52,0.21,0.42,0.36,0.43,"",-1,-7.1,-2,-12.5,-2,-10.5,-2,-10.5,-142019,-64.3,-41085,-37.7,-1252,-47.7,-565,-59.9
"04005","5","1029","73","0","2020","1","",20,15,21,29,150866,125216,5107,536,"",0.36,0.28,0.37,0.51,0.26,0.44,0.99,0.67,"",4,25.0,13,650.0,19,950.0,27,1350.0,140366,1336.8,116716,1373.1,4937,2904.1,132,32.7
"04007","5","1029","73","0","2020","1","",5,3,3,3,41173,20890,418,1056,"",0.32,0.23,0.22,0.23,0.30,0.28,0.27,1.30,"",-5,-50.0,3,100.0,3,100.0,3,100.0,41173,100.0,20890,100.0,418,100.0,1056,100.0
"04009","5","1029","73","0","2020","1","",3,2,5,5,32881,25952,519,632,"",0.33,0.23,0.55,0.55,0.35,0.60,0.51,0.77,"",-3,-50.0,2,100.0,5,100.0,5,100.0,32881,100.0,25952,100.0,519,100.0,632,100.0
"04011","5","1029","73","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"04012","5","1029","73","0","2020","1","",2,5,4,4,15225,14954,298,270,"",0.35,0.92,0.70,0.69,0.30,0.45,0.41,0.39,"",0,0.0,5,100.0,4,100.0,4,100.0,15225,100.0,14954,100.0,298,100.0,270,100.0
"04013","3","1029","73","0","2020","1","-",0,0,0,0,0,0,0,0,"N",0.00,0,0,0,0,0,0,0,"N",-1,-100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
