"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","3","1012","53","0","2020","1","N",4,0,0,0,0,0,0,0,"N",0.07,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","5","1012","53","0","2020","1","",10045,93494,93580,94403,1302537394,705459492,11908826,1068,"",0.96,0.97,0.96,0.96,1.05,0.96,0.89,1.09,"",159,1.6,4587,5.2,3226,3.6,1304,1.4,88942257,7.3,29992354,4.4,-1394001,-10.5,40,3.9
"01001","5","1012","73","0","2020","1","",87,539,475,484,6520305,3573411,62950,1004,"",1.21,1.00,0.88,0.88,1.10,1.00,0.89,1.20,"",6,7.4,74,15.9,3,0.6,12,2.5,694110,11.9,236275,7.1,10425,19.8,50,5.2
"01003","5","1012","73","0","2020","1","",670,4299,4334,4357,53990514,32295768,381625,959,"",1.27,1.18,1.17,1.16,1.51,1.17,0.83,1.29,"",22,3.4,30,0.7,36,0.8,-12,-0.3,3591254,7.1,1585047,5.2,28547,8.1,60,6.7
"01005","5","1012","73","0","2020","1","",30,146,133,150,2566859,1004358,11882,1381,"",0.66,0.37,0.33,0.36,0.65,0.34,0.21,1.83,"",0,0.0,-1,-0.7,-13,-8.9,5,3.4,141583,5.8,25601,2.6,-541,-4.4,103,8.1
"01007","5","1012","73","0","2020","1","",34,917,871,895,16313519,7353609,184810,1403,"",1.15,3.88,3.67,3.71,5.97,4.13,4.20,1.59,"",0,0.0,324,54.6,200,29.8,224,33.4,6120457,60.0,2142797,41.1,49488,36.6,187,15.4
"01009","5","1012","73","0","2020","1","",109,571,575,567,5620418,3684823,43755,757,"",1.72,1.37,1.38,1.34,1.49,1.39,1.07,1.09,"",8,7.9,22,4.0,30,5.5,-11,-1.9,174069,3.2,120772,3.4,-9252,-17.5,5,0.7
"01011","5","1012","73","0","2020","1","N",5,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1012","73","0","2020","1","",29,203,200,203,2426870,1375004,29418,924,"",0.75,0.61,0.60,0.61,0.81,0.56,0.55,1.33,"",-1,-3.3,-6,-2.9,-11,-5.2,-5,-2.4,23907,1.0,-55881,-3.9,-2891,-8.9,41,4.6
"01015","5","1012","73","0","2020","1","",163,995,1010,1002,12422270,6966172,75767,953,"",0.80,0.46,0.46,0.45,0.54,0.51,0.34,1.19,"",-3,-1.8,2,0.2,-14,-1.4,-57,-5.4,-259701,-2.0,-229793,-3.2,-18623,-19.7,2,0.2
