"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1023","53","0","2020","1","",18,136,131,131,2925931,0,0,1697,"",1.86,0.85,0.82,0.82,0.76,0.00,0.00,0.92,"",-1,-5.3,-8,-5.6,-10,-7.1,-10,-7.1,111590,4.0,0,0.0,0,0.0,172,11.3
"01000","2","1023","53","0","2020","1","N",2,0,0,0,0,0,0,0,"N",1.39,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","1023","53","0","2020","1","",134,1715,1702,1706,19827641,6630192,71696,893,"",5.52,2.84,2.81,2.80,2.80,3.10,3.40,0.99,"",0,0.0,36,2.1,26,1.6,26,1.5,615805,3.2,11874,0.2,2691,3.9,12,1.4
"01000","5","1023","53","0","2020","1","",13627,94795,95107,95053,1946382245,706670697,7575830,1576,"",1.17,0.85,0.85,0.85,0.66,0.78,0.81,0.78,"",171,1.3,1261,1.3,1322,1.4,1087,1.2,66979724,3.6,14597481,2.1,-73831,-1.0,34,2.2
"01001","3","1023","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",6.00,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1023","73","0","2020","1","",118,432,432,427,5146889,2848070,33797,920,"",1.48,0.69,0.69,0.68,0.37,0.65,0.69,0.53,"",-3,-2.5,3,0.7,-2,-0.5,-6,-1.4,301011,6.2,96367,3.5,-2279,-6.3,57,6.6
"01003","1","1023","73","0","2020","1","",1,7,7,7,113996,0,0,1253,"",2.04,1.16,1.16,1.15,1.04,0.00,0.00,0.90,"",0,0.0,-1,-12.5,-1,-12.5,-1,-12.5,-1047,-0.9,0,0.0,0,0.0,147,13.3
"01003","3","1023","73","0","2020","1","",3,17,17,17,205073,54630,322,928,"",2.45,0.75,0.74,0.73,1.01,0.68,0.45,1.37,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1023","73","0","2020","1","",890,3943,3950,3995,53272816,27097869,365991,1034,"",1.52,0.94,0.93,0.93,0.63,0.80,1.15,0.68,"",24,2.8,121,3.2,116,3.0,79,2.0,4661277,9.6,1449042,5.6,67154,22.5,65,6.7
"01005","3","1023","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",18.93,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","1023","73","0","2020","1","",72,240,235,231,2656837,1473071,16538,868,"",1.42,0.52,0.50,0.49,0.28,0.40,0.43,0.56,"",1,1.4,24,11.1,21,9.8,17,7.9,404163,17.9,173409,13.3,538,3.4,61,7.6
"01007","3","1023","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",14.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","1023","73","0","2020","1","",31,95,95,99,890615,515815,5328,711,"",0.95,0.35,0.35,0.36,0.14,0.24,0.17,0.39,"",-1,-3.1,0,0.0,-1,-1.0,4,4.2,18284,2.1,1816,0.4,-11,-0.2,7,1.0
"01009","3","1023","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",13.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1023","73","0","2020","1","",65,272,271,263,3190447,1570800,12543,913,"",0.92,0.56,0.56,0.54,0.36,0.48,0.44,0.64,"",-1,-1.5,21,8.4,15,5.9,5,1.9,-88367,-2.7,-204908,-11.5,-7274,-36.7,-76,-7.7
"01011","5","1023","73","0","2020","1","",13,52,56,55,424263,270269,2540,601,"",0.81,0.31,0.33,0.33,0.13,0.20,0.12,0.40,"",1,8.3,-7,-11.9,-2,-3.4,0,0.0,12516,3.0,-3929,-1.4,-807,-24.1,49,8.9
"01013","3","1023","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",22.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1023","73","0","2020","1","",61,178,178,176,1568060,1019153,11576,680,"",1.41,0.46,0.46,0.46,0.22,0.34,0.31,0.48,"",-2,-3.2,-3,-1.7,1,0.6,-2,-1.1,47716,3.1,20688,2.1,1084,10.3,25,3.8
"01015","1","1023","73","0","2020","1","",1,6,5,5,117749,0,0,1698,"",5.30,1.67,1.40,1.40,1.67,0.00,0.00,1.12,"",0,0.0,-1,-14.3,-2,-28.6,-2,-28.6,5032,4.5,0,0.0,0,0.0,459,37.0
"01015","3","1023","73","0","2020","1","",4,61,61,56,607165,27235,161,787,"",8.47,4.51,4.49,4.09,4.67,0.69,0.46,1.07,"",0,0.0,-4,-6.2,-2,-3.2,-7,-11.1,-1883,-0.3,-2133,-7.3,-1495,-90.3,51,6.9
"01015","5","1023","73","0","2020","1","",270,1287,1281,1276,16911230,8268320,75793,1015,"",1.19,0.51,0.51,0.51,0.31,0.50,0.49,0.61,"",-4,-1.5,50,4.0,31,2.5,47,3.8,1106086,7.0,490508,6.3,-1570,-2.0,33,3.4
"01017","3","1023","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",8.57,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1023","73","0","2020","1","",44,179,179,183,1797074,1050121,9706,767,"",0.79,0.37,0.37,0.38,0.19,0.29,0.30,0.50,"",4,10.0,21,13.3,18,11.2,25,15.8,208199,13.1,45301,4.5,-266,-2.7,-2,-0.3
"01019","5","1023","73","0","2020","1","",52,145,143,142,1491687,863582,8691,801,"",1.40,0.50,0.49,0.49,0.29,0.42,0.36,0.59,"",10,23.8,-8,-5.2,-9,-5.9,-9,-6.0,-82447,-5.2,-8325,-1.0,602,7.4,4,0.5
"01021","3","1023","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",6.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","1023","73","0","2020","1","",83,263,272,272,2948212,1559072,19101,843,"",1.12,0.49,0.50,0.51,0.27,0.37,0.46,0.54,"",-3,-3.5,-19,-6.7,-9,-3.2,-8,-2.9,23993,0.8,-24857,-1.6,-1011,-5.0,43,5.4
"01023","5","1023","73","0","2020","1","",23,92,94,93,901185,488691,5516,745,"",0.79,0.47,0.48,0.47,0.17,0.28,0.36,0.35,"",0,0.0,-1,-1.1,0,0.0,1,1.1,3411,0.4,-827,-0.2,708,14.7,2,0.3
"01025","5","1023","73","0","2020","1","",81,350,354,351,4040690,2103911,25521,884,"",1.37,0.77,0.78,0.77,0.40,0.59,0.76,0.52,"",0,0.0,-36,-9.3,-33,-8.5,-28,-7.4,-160832,-3.8,-144203,-6.4,-1045,-3.9,42,5.0
"01027","3","1023","73","0","2020","1","N",3,0,0,0,0,0,0,0,"N",73.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01027","5","1023","73","0","2020","1","",16,103,103,100,1044985,611182,4781,788,"",0.82,0.42,0.42,0.40,0.22,0.30,0.26,0.53,"",0,0.0,0,0.0,1,1.0,-4,-3.8,-37500,-3.5,-17142,-2.7,521,12.2,-20,-2.5
"01029","1","1023","73","0","2020","1","",1,1,1,1,22749,0,0,1750,"",58.09,5.86,6.05,6.01,6.88,0.00,0.00,1.15,"",0,0.0,0,0.0,0,0.0,0,0.0,842,3.8,0,0.0,0,0.0,65,3.9
"01029","5","1023","73","0","2020","1","",17,59,61,61,658546,317683,2395,840,"",0.82,0.49,0.52,0.52,0.26,0.38,0.18,0.51,"",-1,-5.6,-6,-9.2,-1,-1.6,-2,-3.2,25229,4.0,-33807,-9.6,-1447,-37.7,71,9.2
"01031","3","1023","73","0","2020","1","",3,15,15,15,146050,55452,327,749,"",15.21,3.03,3.02,3.00,3.56,3.19,2.21,1.18,"",0,0.0,0,0.0,-2,-11.8,-1,-6.2,-1837,-1.2,489,0.9,3,0.9,38,5.3
"01031","5","1023","73","0","2020","1","",131,555,556,549,7499536,3479048,38229,1043,"",1.39,0.60,0.60,0.60,0.44,0.47,0.58,0.73,"",4,3.1,30,5.7,15,2.8,1,0.2,869584,13.1,140381,4.2,-518,-1.3,95,10.0
"01033","3","1023","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",7.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","1023","73","0","2020","1","",131,872,858,855,11131835,6043631,49301,994,"",1.08,0.65,0.64,0.63,0.35,0.54,0.34,0.54,"",1,0.8,7,0.8,-6,-0.7,7,0.8,276219,2.5,34230,0.6,-86,-0.2,22,2.3
"01035","3","1023","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",21.18,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01035","5","1023","73","0","2020","1","",13,45,43,42,433625,250806,3586,770,"",0.58,0.24,0.23,0.22,0.12,0.17,0.21,0.51,"",0,0.0,-5,-10.0,-6,-12.2,-8,-16.0,-36653,-7.8,-22239,-8.1,1284,55.8,42,5.8
"01037","5","1023","73","0","2020","1","",12,18,19,18,142231,88353,1183,597,"",0.98,0.23,0.24,0.23,0.10,0.15,0.22,0.41,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","3","1023","73","0","2020","1","",3,15,16,16,154103,0,0,757,"",17.67,4.12,4.39,4.37,4.91,0.00,0.00,1.14,"",0,0.0,1,7.1,1,6.7,0,0.0,1871,1.2,0,0.0,0,0.0,-24,-3.1
