"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1022","53","0","2020","1","",2,12,13,13,87840,0,0,533,"",1.27,0.14,0.15,0.15,0.06,0.00,0.00,0.45,"",0,0.0,0,0.0,2,18.2,2,18.2,8516,10.7,0,0.0,0,0.0,-5,-0.9
"01000","2","1022","53","0","2020","1","",9,81,81,83,1149954,0,0,1083,"",2.25,0.96,0.96,0.98,1.35,0.00,0.00,1.40,"",0,0.0,0,0.0,-1,-1.2,4,5.1,164789,16.7,0,0.0,0,0.0,144,15.3
"01000","3","1022","53","0","2020","1","",55,712,717,724,4356055,373025,3071,467,"",0.86,0.40,0.41,0.41,0.36,0.36,0.65,0.88,"",1,1.9,3,0.4,6,0.8,17,2.4,110737,2.6,2123,0.6,-563,-15.5,6,1.3
"01000","5","1022","53","0","2020","1","",2420,20766,20786,20513,350603062,146705503,2455798,1304,"",1.01,0.54,0.53,0.53,0.33,0.42,0.56,0.62,"",171,7.6,-478,-2.3,-644,-3.0,-1504,-6.8,-25167462,-6.7,-4291940,-2.8,-190367,-7.2,-36,-2.7
"01001","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",2.27,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1022","73","0","2020","1","",6,27,26,26,416992,182889,3173,1218,"",0.36,0.12,0.12,0.12,0.08,0.11,0.14,0.68,"",0,0.0,-7,-20.6,-8,-23.5,-8,-23.5,-228817,-35.4,-81340,-30.8,-1876,-37.2,-243,-16.6
"01003","2","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",4.95,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","1022","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.62,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1022","73","0","2020","1","",85,434,448,446,5444775,2723241,54536,946,"",0.70,0.30,0.30,0.30,0.18,0.21,0.36,0.59,"",1,1.2,24,5.9,-14,-3.0,-79,-15.0,-1065724,-16.4,-600955,-18.1,-13288,-19.6,-129,-12.0
"01005","5","1022","73","0","2020","1","",5,15,15,15,158312,90072,1995,812,"",0.48,0.09,0.09,0.09,0.05,0.06,0.11,0.50,"",0,0.0,-1,-6.2,0,0.0,-1,-6.2,-871,-0.5,-5617,-5.9,611,44.1,30,3.8
"01007","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",5.53,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01007","5","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.15,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1022","73","0","2020","1","",9,55,56,54,1033069,443300,2614,1445,"",0.62,0.33,0.33,0.32,0.32,0.36,0.20,0.97,"",-1,-10.0,-7,-11.3,-9,-13.8,-11,-16.9,-11227,-1.1,3258,0.7,-485,-15.7,190,15.1
"01011","5","1022","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",-1,-33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",4.19,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1022","73","0","2020","1","",8,58,58,56,436263,248218,3324,585,"",0.90,0.44,0.43,0.42,0.17,0.21,0.19,0.39,"",0,0.0,0,0.0,0,0.0,-4,-6.7,287,0.1,-10483,-4.1,-794,-19.3,13,2.3
"01015","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.80,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1022","73","0","2020","1","",29,394,388,402,4739720,2560019,51434,924,"",0.62,0.46,0.44,0.46,0.24,0.40,0.70,0.53,"",-2,-6.5,-13,-3.2,-20,-4.9,-1,-0.2,-629640,-11.7,-165074,-6.1,-9544,-15.7,-93,-9.1
"01017","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",3.24,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1022","73","0","2020","1","",5,48,46,44,592651,342210,4563,991,"",0.43,0.29,0.27,0.26,0.17,0.25,0.30,0.61,"",-2,-28.6,-3,-5.9,-5,-9.8,-6,-12.0,-9867,-1.6,-18284,-5.1,1216,36.3,76,8.3
"01019","5","1022","73","0","2020","1","",4,29,29,29,303327,205542,3087,805,"",0.52,0.29,0.29,0.29,0.16,0.26,0.27,0.57,"",-1,-20.0,0,0.0,0,0.0,-1,-3.3,31028,11.4,9539,4.9,1931,167.0,91,12.7
"01021","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",2.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01021","5","1022","73","0","2020","1","",10,66,70,71,751605,395182,5500,838,"",0.65,0.36,0.37,0.38,0.19,0.25,0.28,0.51,"",0,0.0,0,0.0,3,4.5,5,7.6,10908,1.5,33254,9.2,-465,-7.8,-21,-2.4
"01023","5","1022","73","0","2020","1","",4,18,18,17,206677,122791,3317,900,"",0.66,0.27,0.26,0.25,0.11,0.18,0.46,0.41,"",0,0.0,-1,-5.3,-1,-5.3,-1,-5.6,3163,1.6,1684,1.4,516,18.4,61,7.3
"01025","5","1022","73","0","2020","1","",8,38,39,38,307062,208594,3178,616,"",0.65,0.24,0.24,0.24,0.08,0.15,0.20,0.34,"",0,0.0,-10,-20.8,-9,-18.8,-12,-24.0,-78178,-20.3,-36355,-14.8,-1741,-35.4,7,1.1
"01027","5","1022","73","0","2020","1","",4,15,15,16,114553,66503,951,575,"",0.99,0.18,0.17,0.19,0.07,0.09,0.11,0.37,"",1,33.3,0,0.0,0,0.0,2,14.3,-35834,-23.8,-20128,-23.2,1,0.1,-214,-27.1
"01029","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",8.77,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","1022","73","0","2020","1","N",4,0,0,0,0,0,0,0,"N",0.94,0,0,0,0,0,0,0,"N",1,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",1.92,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","1022","73","0","2020","1","",15,84,85,84,652993,393381,5442,596,"",0.77,0.27,0.26,0.26,0.11,0.14,0.18,0.40,"",2,15.4,-12,-12.5,-12,-12.4,-12,-12.5,-86817,-11.7,-74371,-15.9,5,0.1,5,0.8
"01033","3","1022","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",2.98,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01033","5","1022","73","0","2020","1","",16,109,105,106,1377482,585612,13385,993,"",0.64,0.24,0.22,0.22,0.12,0.14,0.20,0.52,"",0,0.0,4,3.8,0,0.0,2,1.9,-88977,-6.1,7108,1.2,-1849,-12.1,-85,-7.9
"01035","5","1022","73","0","2020","1","",4,15,15,15,148426,100797,595,761,"",0.86,0.23,0.22,0.23,0.11,0.18,0.07,0.48,"",0,0.0,-1,-6.2,-1,-6.2,-1,-6.2,-1573,-1.0,-6361,-5.9,-37,-5.9,40,5.5
"01037","5","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.40,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","1022","73","0","2020","1","",13,55,58,56,564208,309467,4446,770,"",0.77,0.24,0.24,0.24,0.12,0.16,0.12,0.49,"",0,0.0,-7,-11.3,-5,-7.9,-8,-12.5,-67147,-10.6,-68229,-18.1,-434,-8.9,-1,-0.1
"01041","2","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",119.85,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01041","5","1022","73","0","2020","1","N",3,0,0,0,0,0,0,0,"N",0.60,0,0,0,0,0,0,0,"N",-1,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",1.09,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01043","5","1022","73","0","2020","1","",14,145,145,151,1875398,825450,17667,981,"",0.41,0.26,0.25,0.26,0.15,0.16,0.32,0.59,"",0,0.0,-6,-4.0,-7,-4.6,-1,-0.7,61323,3.4,29510,3.7,2239,14.5,61,6.6
"01045","1","1022","73","0","2020","1","",1,7,7,8,42991,0,0,451,"",93.71,9.09,9.10,10.34,3.38,0.00,0.00,0.35,"",0,0.0,1,16.7,1,16.7,2,33.3,-1290,-2.9,0,0.0,0,0.0,-117,-20.6
"01045","3","1022","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",2.30,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01045","5","1022","73","0","2020","1","",9,19,19,20,367246,135833,2820,1461,"",0.55,0.06,0.06,0.06,0.04,0.05,0.09,0.64,"",-1,-10.0,1,5.6,1,5.6,2,11.1,23254,6.8,9680,7.7,534,23.4,-9,-0.6
"01047","5","1022","73","0","2020","1","",10,81,79,73,957124,469269,6624,948,"",0.63,0.35,0.33,0.31,0.18,0.23,0.19,0.54,"",0,0.0,-6,-6.9,-10,-11.2,-16,-18.0,-26242,-2.7,-37166,-7.3,-338,-4.9,92,10.7
"01049","5","1022","73","0","2020","1","",12,168,166,164,2455308,1117145,8765,1138,"",0.53,0.39,0.38,0.38,0.27,0.27,0.17,0.71,"",0,0.0,4,2.4,3,1.8,-2,-1.2,15856,0.6,12779,1.2,400,4.8,-4,-0.4
