"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1026","53","0","2020","1","",27,708,708,710,4323526,0,0,469,"",1.41,1.20,1.18,1.18,0.74,0.00,0.00,0.63,"",0,0.0,-22,-3.0,-25,-3.4,-25,-3.4,229390,5.6,0,0.0,0,0.0,39,9.1
"01000","2","1026","53","0","2020","1","",13,253,254,257,2121657,0,0,641,"",1.12,1.08,1.09,1.09,1.17,0.00,0.00,1.07,"",-1,-7.1,5,2.0,6,2.4,-1,-0.4,147727,7.5,0,0.0,0,0.0,37,6.1
"01000","3","1026","53","0","2020","1","",182,5057,5080,5050,43375568,17712655,134852,659,"",3.11,0.96,0.96,0.96,1.19,1.92,1.29,1.24,"",2,1.1,134,2.7,160,3.3,-69,-1.3,763236,1.8,-316316,-1.8,-23770,-15.0,2,0.3
"01000","5","1026","53","0","2020","1","",11119,200597,204117,202590,891278559,752581966,7165580,339,"",1.00,0.94,0.95,0.96,0.84,0.93,0.96,0.89,"",61,0.6,1212,0.6,693,0.3,-3746,-1.8,33069315,3.9,22876074,3.1,-161983,-2.2,14,4.3
"01001","2","1026","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",12.51,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","3","1026","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",2.49,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01001","5","1026","73","0","2020","1","",87,1516,1542,1557,5496046,4398167,35549,275,"",1.14,1.27,1.28,1.32,1.09,1.13,0.91,0.85,"",2,2.4,-11,-0.7,47,3.1,26,1.7,246065,4.7,154434,3.6,1651,4.9,9,3.4
"01003","2","1026","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",1.70,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","3","1026","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",0.34,0,0,0,0,0,0,0,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01003","5","1026","73","0","2020","1","",760,14403,15098,15500,77418060,64060501,633307,397,"",1.35,1.79,1.84,1.90,2.56,2.13,2.49,1.38,"",26,3.5,322,2.3,348,2.4,-347,-2.2,4671537,6.4,2867573,4.7,-66257,-9.5,21,5.6
