"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1027","53","0","2020","1","",4,442,449,448,13717192,0,0,2364,"",1.93,7.18,7.23,7.22,20.07,0.00,0.00,2.78,"",0,0.0,9,2.1,15,3.5,11,2.5,2615791,23.6,0,0.0,0,0.0,399,20.3
"01000","2","1027","53","0","2020","1","N",4,0,0,0,0,0,0,0,"N",1.86,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01000","3","1027","53","0","2020","1","",29,416,413,416,5009675,51048,733,929,"",1.10,0.95,0.94,0.93,1.21,0.08,0.11,1.29,"",-1,-3.3,20,5.1,16,4.0,20,5.1,463507,10.2,-1949,-3.7,132,22.0,47,5.3
"01000","5","1027","53","0","2020","1","",8905,45157,45541,45219,447882236,270529140,3221276,760,"",0.87,0.75,0.75,0.76,0.91,0.92,1.09,1.21,"",-1092,-10.9,-484,-1.1,-692,-1.5,-1211,-2.6,2347309,0.5,1863162,0.7,-368512,-10.3,17,2.3
"01001","5","1027","73","0","2020","1","",71,252,241,245,1950939,1340615,12964,610,"",1.01,0.75,0.72,0.73,0.83,0.94,0.83,1.13,"",0,0.0,16,6.8,-2,-0.8,-3,-1.2,43623,2.3,16309,1.2,-5838,-31.0,5,0.8
"01003","5","1027","73","0","2020","1","",444,2012,2045,2002,18597568,12084863,133403,708,"",0.86,0.89,0.89,0.87,1.32,1.10,1.32,1.49,"",-61,-12.1,10,0.5,1,0.0,-14,-0.7,1304694,7.5,343203,2.9,-4300,-3.1,50,7.6
"01005","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",8.71,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01005","5","1027","73","0","2020","1","",29,135,135,139,1160476,630335,6720,655,"",0.65,0.55,0.53,0.56,0.74,0.53,0.55,1.35,"",-8,-21.6,-12,-8.2,-10,-6.9,-8,-5.4,-6342,-0.5,-50485,-7.4,-613,-8.4,42,6.9
"01007","5","1027","73","0","2020","1","N",22,0,0,0,0,0,0,0,"N",0.77,0,0,0,0,0,0,0,"N",-19,-46.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01009","5","1027","73","0","2020","1","",62,335,320,318,2285527,1753500,15121,542,"",1.00,1.29,1.23,1.23,1.52,1.66,1.68,1.22,"",-5,-7.5,19,6.0,1,0.3,-5,-1.5,86615,3.9,97743,5.9,1268,9.2,12,2.3
"01011","5","1027","73","0","2020","1","N",9,0,0,0,0,0,0,0,"N",0.63,0,0,0,0,0,0,0,"N",-14,-60.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01013","5","1027","73","0","2020","1","",32,93,92,83,670571,453319,5054,577,"",0.84,0.45,0.44,0.41,0.56,0.46,0.43,1.30,"",-3,-8.6,1,1.1,-2,-2.1,-6,-6.7,32160,5.0,11742,2.7,-849,-14.4,41,7.6
"01015","2","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",23.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","3","1027","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",3.90,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01015","5","1027","73","0","2020","1","",187,775,791,803,6338501,4414331,52575,617,"",0.94,0.58,0.58,0.60,0.70,0.82,1.06,1.20,"",-17,-8.3,-37,-4.6,-20,-2.5,-8,-1.0,71436,1.1,-84338,-1.9,-7280,-12.2,23,3.9
"01017","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",7.88,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01017","5","1027","73","0","2020","1","",37,97,100,101,793193,562504,6075,614,"",0.75,0.37,0.38,0.39,0.49,0.48,0.60,1.27,"",-7,-15.9,0,0.0,-1,-1.0,-1,-1.0,90643,12.9,63153,12.6,-369,-5.7,74,13.7
"01019","5","1027","73","0","2020","1","",21,76,84,81,568878,420829,5340,545,"",0.64,0.49,0.54,0.52,0.66,0.63,0.70,1.28,"",-1,-4.5,19,33.3,17,25.4,11,15.7,76900,15.6,44497,11.8,2363,79.4,-40,-6.8
"01021","5","1027","73","0","2020","1","",63,294,293,288,2051519,1546986,17740,541,"",0.97,1.03,1.01,1.01,1.13,1.14,1.36,1.12,"",-8,-11.3,7,2.4,0,0.0,-11,-3.7,148753,7.8,59996,4.0,-3744,-17.4,41,8.2
"01023","5","1027","73","0","2020","1","",21,66,71,74,526572,358073,4021,576,"",0.82,0.63,0.67,0.70,0.58,0.62,0.83,0.87,"",-20,-48.8,-33,-33.3,-22,-23.7,-27,-26.7,-38420,-6.8,-46965,-11.6,-1225,-23.4,131,29.4
"01025","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",7.45,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01025","5","1027","73","0","2020","1","",50,118,125,132,987709,693516,8413,608,"",0.96,0.48,0.51,0.55,0.59,0.60,0.79,1.14,"",-10,-16.7,-7,-5.6,2,1.6,1,0.8,101832,11.5,48658,7.5,1214,16.9,69,12.8
"01027","5","1027","73","0","2020","1","",12,36,33,37,267771,207780,2669,583,"",0.70,0.27,0.25,0.28,0.34,0.32,0.46,1.26,"",-1,-7.7,-15,-29.4,-18,-35.3,-14,-27.5,-73331,-21.5,-63106,-23.3,368,16.0,69,13.4
"01029","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",21.35,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01029","5","1027","73","0","2020","1","",11,50,48,48,478059,347435,2954,756,"",0.61,0.78,0.76,0.77,1.13,1.26,0.70,1.46,"",-7,-38.9,-6,-10.7,-9,-15.8,-10,-17.2,30222,6.7,-3856,-1.1,-274,-8.5,152,25.2
"01031","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",4.66,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01031","5","1027","73","0","2020","1","",80,322,326,322,2561695,1825936,18571,609,"",0.96,0.66,0.66,0.66,0.90,0.76,0.89,1.36,"",-3,-3.6,11,3.5,6,1.9,0,0.0,48411,1.9,65120,3.7,-1132,-5.7,0,0.0
"01033","1","1027","73","0","2020","1","",1,421,427,427,13470509,0,0,2438,"",46.14,569.09,573.79,566.86,1809.34,0.00,0.00,3.17,"",0,0.0,10,2.4,16,3.9,13,3.1,2617229,24.1,0,0.0,0,0.0,412,20.3
"01033","5","1027","73","0","2020","1","",87,532,522,519,4772942,3128786,30748,700,"",0.82,0.74,0.72,0.72,0.89,0.86,0.67,1.23,"",-4,-4.4,54,11.3,30,6.1,33,6.8,598329,14.3,328371,11.7,-4095,-11.8,38,5.7
"01035","5","1027","73","0","2020","1","",13,46,45,42,347062,278276,3366,602,"",0.65,0.45,0.44,0.41,0.56,0.58,0.62,1.29,"",-3,-18.8,1,2.2,-6,-11.8,-7,-14.3,-4369,-1.2,-17780,-6.0,-933,-21.7,43,7.7
"01037","5","1027","73","0","2020","1","N",8,0,0,0,0,0,0,0,"N",0.75,0,0,0,0,0,0,0,"N",-1,-11.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","3","1027","73","0","2020","1","N",2,0,0,0,0,0,0,0,"N",10.84,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01039","5","1027","73","0","2020","1","",53,236,232,237,1836397,1276621,15248,601,"",0.74,0.65,0.64,0.66,0.84,0.76,0.61,1.29,"",-6,-10.2,-9,-3.7,-4,-1.7,-6,-2.5,-30447,-1.6,-44299,-3.4,-2168,-12.4,6,1.0
"01041","5","1027","73","0","2020","1","",19,106,144,162,1714688,1107505,52653,960,"",0.89,0.98,1.29,1.45,2.60,1.96,7.19,2.09,"",0,0.0,-57,-35.0,-61,-29.8,3,1.9,-1391365,-44.8,-693043,-38.5,-51177,-49.3,-400,-29.4
"01043","5","1027","73","0","2020","1","",120,509,507,500,4193409,3157065,32898,638,"",0.83,0.58,0.57,0.57,0.75,0.73,0.88,1.30,"",-6,-4.8,-20,-3.8,-23,-4.3,-34,-6.4,118522,2.9,60085,1.9,1166,3.7,48,8.1
"01045","5","1027","73","0","2020","1","",37,194,192,190,947978,733406,6065,380,"",0.54,0.37,0.37,0.37,0.21,0.31,0.29,0.56,"",-20,-35.1,12,6.6,-20,-9.4,-9,-4.5,53576,6.0,4001,0.5,-238,-3.8,32,9.2
"01047","5","1027","73","0","2020","1","",69,451,452,451,3736604,2687171,49997,637,"",1.03,1.24,1.24,1.24,1.52,1.56,2.15,1.22,"",-17,-19.8,-14,-3.0,-11,-2.4,-21,-4.4,374335,11.1,110708,4.3,-9322,-15.7,83,15.0
"01049","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",4.02,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01049","5","1027","73","0","2020","1","",67,234,239,238,1987972,1446291,14205,645,"",0.70,0.35,0.35,0.36,0.48,0.41,0.41,1.36,"",-11,-14.1,-13,-5.3,-5,-2.0,-5,-2.1,42079,2.2,23336,1.6,187,1.3,33,5.4
"01051","3","1027","73","0","2020","1","N",1,0,0,0,0,0,0,0,"N",3.47,0,0,0,0,0,0,0,"N",0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01051","5","1027","73","0","2020","1","",98,492,490,495,3830583,2777602,29306,598,"",0.88,0.82,0.82,0.83,1.09,1.07,1.29,1.32,"",-1,-1.0,81,19.7,54,12.4,47,10.5,407650,11.9,316609,12.9,6927,31.0,-12,-2.0
"01053","5","1027","73","0","2020","1","",50,169,173,174,1085490,805482,9705,485,"",0.77,0.44,0.45,0.45,0.42,0.43,0.56,0.93,"",-9,-15.3,-6,-3.4,-2,-1.1,-6,-3.3,-6964,-0.6,-2664,-0.3,-2257,-18.9,9,1.9
"01055","5","1027","73","0","2020","1","",128,699,713,695,6202778,4079018,54995,679,"",0.78,0.67,0.68,0.67,0.86,0.79,1.14,1.28,"",-33,-20.5,-54,-7.2,-34,-4.6,-43,-5.8,34191,0.6,28580,0.7,-3039,-5.2,43,6.8
"01057","5","1027","73","0","2020","1","",21,65,65,63,436884,329429,2562,522,"",0.78,0.54,0.53,0.53,0.65,0.69,0.44,1.21,"",-12,-36.4,-3,-4.4,-3,-4.4,-7,-10.0,15517,3.7,8136,2.5,310,13.8,50,10.6
"01059","5","1027","73","0","2020","1","",31,129,125,130,1014344,732201,6633,610,"",0.66,0.39,0.37,0.39,0.51,0.42,0.42,1.32,"",-1,-3.1,7,5.7,-1,-0.8,-2,-1.5,44580,4.6,11273,1.6,-2129,-24.3,21,3.6
"01061","5","1027","73","0","2020","1","N",27,0,0,0,0,0,0,0,"N",0.68,0,0,0,0,0,0,0,"N",-9,-25.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01063","5","1027","73","0","2020","1","",10,21,21,24,87166,83136,814,305,"",0.79,0.36,0.36,0.42,0.28,0.38,0.34,0.74,"",-19,-65.5,-15,-41.7,-16,-43.2,-14,-36.8,-30961,-26.2,-31459,-27.5,-532,-39.5,59,24.0
"01065","5","1027","73","0","2020","1","",15,31,33,34,217360,181715,2505,512,"",0.66,0.38,0.41,0.43,0.45,0.58,0.83,1.10,"",-20,-57.1,-13,-29.5,-8,-19.5,-7,-17.1,10037,4.8,10963,6.4,778,45.0,132,34.7
