"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","qtrly_estabs","month1_emplvl","month2_emplvl","month3_emplvl","total_qtrly_wages","taxable_qtrly_wages","qtrly_contributions","avg_wkly_wage","lq_disclosure_code","lq_qtrly_estabs","lq_month1_emplvl","lq_month2_emplvl","lq_month3_emplvl","lq_total_qtrly_wages","lq_taxable_qtrly_wages","lq_qtrly_contributions","lq_avg_wkly_wage","oty_disclosure_code","oty_qtrly_estabs_chg","oty_qtrly_estabs_pct_chg","oty_month1_emplvl_chg","oty_month1_emplvl_pct_chg","oty_month2_emplvl_chg","oty_month2_emplvl_pct_chg","oty_month3_emplvl_chg","oty_month3_emplvl_pct_chg","oty_total_qtrly_wages_chg","oty_total_qtrly_wages_pct_chg","oty_taxable_qtrly_wages_chg","oty_taxable_qtrly_wages_pct_chg","oty_qtrly_contributions_chg","oty_qtrly_contributions_pct_chg","oty_avg_wkly_wage_chg","oty_avg_wkly_wage_pct_chg"
"01000","1","1028","53","0","2020","1","",497,33136,33338,33750,734849077,0,0,1692,"",1.56,1.59,1.59,1.58,1.97,0.00,0.00,1.25,"",26,5.5,927,2.9,1031,3.2,1501,4.7,-24104810,-3.2,0,0.0,0,0.0,-118,-6.5
"01000","2","1028","53","0","2020","1","",946,30872,30860,30993,349647902,32350,1964,870,"",1.52,1.28,1.28,1.28,1.16,0.00,0.09,0.90,"",-5,-0.5,294,1.0,249,0.8,422,1.4,33766947,10.7,-9636,-23.0,-252,-11.4,76,9.6
"01000","3","1028","53","0","2020","1","",644,61199,61218,61682,674432560,46582362,333873,845,"",0.82,1.12,1.11,1.11,1.01,1.04,1.29,0.91,"",1,0.2,656,1.1,555,0.9,534,0.9,22662436,3.5,1411484,3.1,-1584,-0.5,20,2.4
"01001","1","1028","73","0","2020","1","",6,10,10,11,181498,0,0,1351,"",2.75,0.09,0.09,0.09,0.10,0.00,0.00,1.17,"",-2,-25.0,-5,-33.3,-4,-28.6,-3,-21.4,-1499,-0.8,0,0.0,0,0.0,369,37.6
"01001","2","1028","73","0","2020","1","",12,184,187,190,1631598,0,0,671,"",2.81,1.36,1.39,1.40,1.14,0.00,0.00,0.82,"",0,0.0,-1,-0.5,2,1.1,4,2.2,96391,6.3,0,0.0,0,0.0,34,5.3
"01001","3","1028","73","0","2020","1","",5,571,594,605,6628243,7140,42,864,"",0.92,1.86,1.94,1.95,2.09,0.03,0.03,1.09,"",0,0.0,12,2.1,20,3.5,14,2.4,453130,7.3,134,1.9,1,2.4,37,4.5
"01003","1","1028","73","0","2020","1","",13,96,101,107,1860517,0,0,1412,"",0.81,0.12,0.13,0.13,0.17,0.00,0.00,1.38,"",-1,-7.1,1,1.1,5,5.2,13,13.8,107594,6.1,0,0.0,0,0.0,-7,-0.5
"01003","2","1028","73","0","2020","1","",21,698,703,709,6406021,0,0,701,"",0.67,0.77,0.77,0.76,0.74,0.00,0.00,0.96,"",0,0.0,-23,-3.2,-3,-0.4,9,1.3,167117,2.7,0,0.0,0,0.0,24,3.5
"01003","3","1028","73","0","2020","1","",16,3248,3257,3317,35846180,3993979,23564,842,"",0.40,1.58,1.56,1.56,1.87,2.39,2.65,1.20,"",0,0.0,158,5.1,141,4.5,158,5.0,2101311,6.2,331162,9.0,893,3.9,10,1.2
"01005","1","1028","73","0","2020","1","",4,10,12,13,142999,0,0,943,"",2.89,0.12,0.14,0.15,0.12,0.00,0.00,0.91,"",1,33.3,2,25.0,4,50.0,5,62.5,12619,9.7,0,0.0,0,0.0,-311,-24.8
